name,language,frequency
Nan,cz,19
Hu,cz,19
Xing,cz,19
Han,cz,19
Qin,cz,18
Wen,cz,18
Bing,cz,18
Meng,cz,17
Quan,cz,17
Ivanov,ru,109
Kuznetsov,ru,79
Smirnov,ru,77
Popov,ru,63
Sokolov,ru,52
Petrov,ru,52
Volkov,ru,47
Vasilyev,ru,44
Makarov,ru,36
Zakharov,ru,36
Kozlov,ru,34
Pavlov,ru,34
Morozov,ru,34
Semyonov,ru,33
Stepanov,ru,32
Orlov,ru,32
Romanov,ru,32
Novikov,ru,32
Lebedev,ru,30
Borisov,ru,30
Nikitin,ru,29
Markov,ru,29
Fyodorov,ru,28
Yakovlev,ru,28
Sorokin,ru,27
Belov,ru,25
Kiselyov,ru,25
Frolov,ru,24
Kuzmin,ru,24
Davydov,ru,24
Andreyev,ru,24
Medvedev,ru,23
Filippov,ru,23
Vlasov,ru,23
Matveyev,ru,22
Fedotov,ru,22
Ivanova,ru,22
Nikolayev,ru,22
Titov,ru,22
Gusev,ru,22
Mironov,ru,21
Vinogradov,ru,21
Sergeyev,ru,21
Bogdanov,ru,21
Magomedov,ru,21
Melnikov,ru,21
Abramov,ru,21
Mikhaylov,ru,20
Solovyov,ru,20
Yegorov,ru,20
Osipov,ru,20
Mikhailov,ru,19
Zaytsev,ru,19
Kovalyov,ru,19
Bykov,ru,19
Antonov,ru,18
Shevchenko,ru,18
Kolesnikov,ru,18
Alekseyev,ru,18
Komarov,ru,17
Danilov,ru,17
Tarasov,ru,17
Zhukov,ru,17
Baranov,ru,17
Tikhonov,ru,16
Chistyakov,ru,16
Ilyin,ru,16
Vasiliev,ru,16
Shishkin,ru,16
Demidov,ru,15
Tolstoy,ru,15
Golubev,ru,15
Kharitonov,ru,15
Grishin,ru,15
Kulikov,ru,15
Denisov,ru,15
Bondarenko,ru,15
Martynov,ru,15
Kazakov,ru,15
Gavrilov,ru,15
Chernov,ru,15
Krylov,ru,15
Klimov,ru,14
Ignatyev,ru,14
Petrova,ru,14
Panin,ru,14
Rodionov,ru,14
Voronin,ru,14
Karpov,ru,14
Kravchenko,ru,14
Mansouri,ar,5
Ahmed,ar,5
Meftah,ar,5
Sahraoui,ar,5
Daoud,ar,5
Merbah,ar,4
Bendahmane,ar,4
Sahnoune,ar,3
Cherif,ar,3
Sadi,ar,3
Fergani,ar,3
Bernaoui,ar,3
Brahimi,ar,3
Moussa,ar,3
Slimani,ar,3
Benyahia,ar,3
Rabah,ar,3
Touil,ar,3
