name,gender,language,frequency
Ruby,f,en,11
Fran,f,en,11
Pauline,f,en,11
Kristine,f,en,11
Katy,f,en,11
Lee,f,en,11
Geraldine,f,en,11
Tammy,f,en,11
Liza,f,en,11
Marianne,f,en,11
Alex,f,en,11
Chelsea,f,en,11
Olivia,f,en,11
Stacey,f,en,11
Lindsey,f,en,11
Betsy,f,en,11
Genevieve,f,en,11
Sherry,f,en,11
Theresa,f,en,11
Jillian,f,en,10
Juanita,f,en,10
Hilary,f,en,10
Monique,f,en,10
Lynne,f,en,10
Ali,f,en,10
Karin,f,en,10
Janis,f,en,10
Caitlin,f,en,10
Fannie,f,en,10
Iris,f,en,10
Robyn,f,en,10
Kelley,f,en,10
Charlene,f,en,10
Bessie,f,en,10
Monica,f,en,10
Brittany,f,en,10
Fanny,f,en,10
Faith,f,en,10
Abigail,f,en,10
Renee,f,en,10
Jeanette,f,en,10
Matilda,f,en,10
Veronica,f,en,10
Clare,f,en,10
Elisabeth,f,en,10
Morgan,f,en,10
May,f,en,10
Maya,f,en,10
Jordan,f,en,9
Angel,f,en,9
Penny,f,en,9
Angie,f,en,9
Hattie,f,en,9
Billie,f,en,9
Norma,f,en,9
Tamara,f,en,9
Belle,f,en,9
Katrina,f,en,9
Madeline,f,en,9
Viola,f,en,9
Cassandra,f,en,9
Corinne,f,en,9
Helene,f,en,9
Francine,f,en,9
Natasha,f,en,9
Sophia,f,en,9
Bertha,f,en,9
Kristina,f,en,9
Kelli,f,en,8
Phoebe,f,en,8
Mitzi,f,en,8
Stacy,f,en,8
Alma,f,en,8
Eve,f,en,8
Agnes,f,en,8
Bridget,f,en,8
Kara,f,en,8
Candy,f,en,8
Elena,f,en,8
Elise,f,en,8
Blanche,f,en,8
Candice,f,en,8
Jenna,f,en,8
Leigh,f,en,8
Patty,f,en,8
Susie,f,en,8
Jeannie,f,en,8
Adele,f,en,8
Kitty,f,en,8
Elinor,f,en,8
Laurel,f,en,8
Juliet,f,en,8
Miriam,f,en,8
Suzy,f,en,8
Louisa,f,en,8
Margot,f,en,8
Dolores,f,en,8
Polly,f,en,8
Alexa,f,en,8
Gayle,f,en,8
Felicia,f,en,8
Isabella,f,en,7
Teri,f,en,7
Chloe,f,en,7
Jana,f,en,7
Fay,f,en,7
Pearl,f,en,7
Ivy,f,en,7
Gwen,f,en,7
Lesley,f,en,7
Mimi,f,en,7
Marissa,f,en,7
Paige,f,en,7
Effie,f,en,7
Lola,f,en,7
Cristina,f,en,7
